"","ALLE.Open","ALLE.High","ALLE.Low","ALLE.Close","ALLE.Volume","ALLE.Adjusted"
"2013-11-18",49.75,50,47.490002,48.48,587100,46.429245
"2013-11-19",48.990002,49,45.299999,45.799999,1682000,43.862614
"2013-11-20",45.98,46,43.990002,44.650002,1106900,42.761269
"2013-11-21",44.5,45.150002,43.040001,43.790001,730200,41.937637
"2013-11-22",43.900002,44.099998,43.25,43.990002,947600,42.129169
"2013-11-25",44.279999,45.619999,43.700001,44.18,727300,42.311142
"2013-11-26",45,45,43.040001,43.200001,873700,41.372597
"2013-11-27",43.549999,43.549999,42.5,43.240002,1153300,41.4109
"2013-11-29",42.75,43.849998,42.75,43.240002,949900,41.4109
"2013-12-02",43.080002,43.669998,41.52,43.139999,5130700,41.31514
"2013-12-03",42.799999,44.849998,42.700001,42.900002,3239300,41.085293
"2013-12-04",42.43,42.610001,41.650002,41.830002,2777700,40.060551
"2013-12-05",42.279999,42.279999,40.630001,41.049999,3380500,39.313541
"2013-12-06",40.75,41.060001,40.639999,40.700001,4662300,38.978355
"2013-12-09",40.700001,41.27,40.240002,41.18,3074000,39.438038
"2013-12-10",41.07,42.84,41.040001,42.560001,3289400,40.75967
"2013-12-11",42.32,43.02,42,42.459999,3367300,40.663898
"2013-12-12",42.009998,43.099998,42,42.970001,1770500,41.152325
"2013-12-13",42.919998,43.799999,42.919998,43.25,683800,41.420483
"2013-12-16",43.009998,43.990002,42.110001,43.689999,1953900,41.841866
"2013-12-17",43.43,44,43.16,43.75,1396700,41.899342
"2013-12-18",43.650002,44.5,43.099998,44.27,1225200,42.397335
"2013-12-19",43.959999,44.5,43.82,44.450001,593000,42.569717
"2013-12-20",44.299999,44.450001,43.91,44.259998,2878600,42.387764
"2013-12-23",44.169998,44.849998,43.549999,44.650002,773600,42.761269
"2013-12-24",44.759998,45.02,44.25,44.580002,304700,42.694237
"2013-12-26",44.860001,45.009998,44.439999,44.700001,513200,42.809147
"2013-12-27",44.77,44.970001,44.09,44.639999,393300,42.751678
"2013-12-30",44.450001,44.880001,44,44.119999,381500,42.253674
"2013-12-31",44.23,44.5,43.759998,44.189999,874200,42.320721
"2014-01-02",44.080002,44.18,43.27,43.650002,992900,41.80357
"2014-01-03",43.57,44.32,43.169998,43.959999,378400,42.100452
"2014-01-06",43.970001,43.98,43.369999,43.68,597800,41.832298
"2014-01-07",42.16,43.98,42.16,43.869999,1371300,42.014256
"2014-01-08",44.02,44.360001,43.400002,43.880001,1407100,42.023827
"2014-01-09",43.889999,44.25,43.84,44.130001,1093500,42.263275
"2014-01-10",44.169998,46.080002,44.02,45.73,2008600,43.795582
"2014-01-13",45.700001,47.439999,45.200001,47.040001,2278500,45.050159
"2014-01-14",47.16,47.889999,46.91,47.799999,2338200,45.778011
"2014-01-15",47.970001,49.189999,47.259998,47.5,1733000,45.490704
"2014-01-16",47.279999,47.68,47.040001,47.400002,1178700,45.394936
"2014-01-17",47.52,48.240002,47,48,1572100,45.969551
"2014-01-21",49.380001,49.380001,47.939999,48.169998,1570400,46.132362
"2014-01-22",48.110001,49.16,48.080002,48.509998,682200,46.457985
"2014-01-23",48.68,48.68,47.580002,47.720001,867600,45.701393
"2014-01-24",47.619999,47.709999,45.830002,46.84,1417500,44.858624
"2014-01-27",45.200001,48,45.200001,46.599998,717800,44.62878
"2014-01-28",46.77,47.880001,46.77,47.73,721700,45.710968
"2014-01-29",47.349998,48.48,47.130001,47.779999,800900,45.758865
"2014-01-30",47.91,49.630001,47.830002,49.419998,1247100,47.329475
"2014-01-31",49.25,49.959999,49.029999,49.349998,2011100,47.262444
"2014-02-03",49.349998,49.939999,47.200001,47.439999,1184800,45.433235
"2014-02-04",47.439999,48.48,47.32,48.049999,891300,46.017433
"2014-02-05",47.84,48.650002,47.150002,47.599998,823100,45.586468
"2014-02-06",47.5,49.27,47.5,49.240002,1168400,47.157101
"2014-02-07",49.330002,50.27,49.330002,49.939999,1837500,47.82748
"2014-02-10",49.990002,50.119999,49.450001,49.84,763400,47.731712
"2014-02-11",49.73,50.41,49.330002,49.889999,1446100,47.779602
"2014-02-12",49.919998,51,49.73,50,1405300,47.884956
"2014-02-13",49.98,50.439999,49.59,50.119999,695000,47.999866
"2014-02-14",50.150002,50.25,49.59,49.630001,891700,47.530609
"2014-02-18",49.720001,50.860001,49.720001,50.110001,2748500,47.990295
"2014-02-19",49.84,50.34,49.029999,49.16,1076100,47.080475
"2014-02-20",50.23,52.779999,49.099998,51.52,2623600,49.340656
"2014-02-21",51.75,52.790001,51.75,52.369999,2198700,50.154694
"2014-02-24",52.360001,53.110001,52.360001,52.860001,667900,50.623978
"2014-02-25",53,54.580002,52.93,54.560001,1117600,52.252052
"2014-02-26",54.830002,55.779999,54.18,54.66,1880100,52.347832
"2014-02-27",54.689999,55.529999,54.209999,55.349998,1139900,53.008644
"2014-02-28",55.09,55.32,53.82,54.349998,1198500,52.050945
"2014-03-03",54.669998,54.93,53.080002,53.490002,659600,51.227314
"2014-03-04",53.709999,55,53.48,54,1189900,51.715755
"2014-03-05",53.900002,54.310001,53.380001,53.950001,395000,51.667854
"2014-03-06",53.990002,54.099998,53.040001,53.189999,617400,50.94001
"2014-03-07",53.439999,53.779999,52.59,53.389999,776100,51.131546
"2014-03-10",53.200001,53.669998,52.240002,53.290001,1155300,51.035786
"2014-03-11",53.490002,54.799999,53.450001,54.5,874700,52.194607
"2014-03-12",54.419998,54.740002,52.77,54.279999,1255500,51.983906
"2014-03-13",54.459999,54.709999,53.130001,53.599998,946400,51.408432
"2014-03-14",53.619999,53.950001,53.25,53.299999,1071800,51.120708
"2014-03-17",53.439999,53.830002,52.93,52.959999,1011700,50.794594
"2014-03-18",52.950001,53.490002,52.709999,53.279999,880800,51.101521
"2014-03-19",53.18,54,52.919998,53.279999,645000,51.101521
"2014-03-20",53.41,54.220001,52.82,54.169998,628100,51.95512
"2014-03-21",54.380001,54.810001,53.740002,53.810001,1356800,51.609848
"2014-03-24",54,54.23,53.040001,53.470001,895600,51.283752
"2014-03-25",53.700001,53.900002,53.169998,53.209999,708000,51.034378
"2014-03-26",53.32,53.5,52.009998,52.040001,691100,49.91222
"2014-03-27",51.869999,51.970001,51.189999,51.450001,492900,49.346348
"2014-03-28",51.619999,52.439999,51.540001,52.16,346100,50.027313
"2014-03-31",52.380001,52.580002,51.91,52.169998,334600,50.0369
"2014-04-01",52.439999,54.060001,52.290001,53.919998,593600,51.715347
"2014-04-02",53.919998,54.810001,53.59,54.669998,500500,52.434681
"2014-04-03",54.77,55,54.580002,54.950001,427900,52.703243
"2014-04-04",54.82,55.349998,53,53.73,492000,51.533123
"2014-04-07",53.709999,54,51.529999,51.619999,1054200,49.509396
"2014-04-08",51.34,51.779999,50.810001,51.41,1213700,49.307972
"2014-04-09",51.459999,51.59,51.23,51.5,1212800,49.394295
"2014-04-10",51.52,51.790001,50.119999,50.68,1488500,48.607834
"2014-04-11",50.529999,50.900002,49.860001,50.009998,1184600,47.965221
"2014-04-14",50.279999,50.610001,49.18,49.77,605900,47.735027
"2014-04-15",49.880001,50.43,48.93,49.959999,419300,47.917255
"2014-04-16",50.16,50.720001,49.84,50.23,254000,48.17622
"2014-04-17",50.07,50.540001,49.43,50.150002,427200,48.099499
"2014-04-21",49.98,50.650002,49.599998,50.630001,225700,48.559879
"2014-04-22",50.709999,51.150002,50.360001,51,422500,48.914745
"2014-04-23",50.889999,50.959999,49.98,50.400002,507800,48.339279
"2014-04-24",50.619999,50.779999,49.720001,50.240002,659800,48.185829
"2014-04-25",49.950001,50.389999,49.369999,49.540001,290300,47.514439
"2014-04-28",49.84,50.080002,48.450001,48.82,605400,46.823879
"2014-04-29",48.959999,49.43,48.459999,48.900002,442000,46.900604
"2014-04-30",49,49.459999,48.439999,49.349998,481100,47.332203
"2014-05-01",51,51.860001,49.48,51.25,722100,49.154526
"2014-05-02",51.18,51.740002,50.25,50.700001,479000,48.62701
"2014-05-05",50.279999,50.52,49.57,50.060001,413800,48.013172
"2014-05-06",49.950001,50.16,49.549999,49.889999,596000,47.850128
"2014-05-07",49.889999,50.32,49.34,49.93,598000,47.888493
"2014-05-08",49.599998,50.400002,49.110001,49.360001,530600,47.341797
"2014-05-09",49.200001,50.16,48.669998,50,489100,47.955639
"2014-05-12",50.049999,50.84,50.049999,50.48,586100,48.416
"2014-05-13",50.5,50.720001,50.330002,50.48,638700,48.416
"2014-05-14",50.299999,50.43,49.740002,49.790001,470700,47.754219
"2014-05-15",49.52,49.740002,47.98,48.290001,738400,46.315548
"2014-05-16",48.32,49.43,48.150002,49.279999,719500,47.265064
"2014-05-19",49.299999,50.360001,49.27,50.209999,653500,48.157043
"2014-05-20",49.869999,50.540001,49.75,50.5,1543600,48.435196
"2014-05-21",50.52,51.029999,50.400002,50.709999,338500,48.6366
"2014-05-22",50.650002,51.84,50.32,51.490002,501100,49.384705
"2014-05-23",51.73,52.59,51.330002,52.459999,451800,50.315044
"2014-05-27",52.490002,52.84,52.330002,52.470001,331600,50.324642
"2014-05-28",52.619999,53.259998,52.459999,52.939999,523700,50.775417
"2014-05-29",52.939999,53.860001,52.939999,53.52,815600,51.331707
"2014-05-30",53.490002,53.509998,52.330002,52.389999,400300,50.247902
"2014-06-02",52.77,52.77,52.040001,52.07,646500,49.940983
"2014-06-03",51.299999,52.740002,51.299999,52.41,451900,50.267086
"2014-06-04",52.27,53.310001,52.23,53.150002,621100,50.976849
"2014-06-05",53.200001,54.34,52.900002,54.310001,608900,52.089409
"2014-06-06",54.43,56.09,54.369999,55.830002,965400,53.547256
"2014-06-09",55.970001,56.810001,55.619999,56.349998,850400,54.04599
"2014-06-10",56.240002,56.75,55.950001,56.73,618100,54.410458
"2014-06-11",56.400002,56.419998,55.98,56.34,625600,54.036407
"2014-06-12",56.18,56.560001,55.889999,56.119999,1780200,53.901943
"2014-06-13",56.259998,56.259998,55.900002,56.09,545100,53.873112
"2014-06-16",55.93,57.360001,55.84,57.130001,634300,54.872025
"2014-06-17",56.880001,57.66,56.099998,57.25,1436700,54.987282
"2014-06-18",57.23,57.5,57.049999,57.34,1901900,55.073723
"2014-06-19",57.330002,57.740002,56.040001,57.27,875800,55.006493
"2014-06-20",57.139999,57.779999,56.880001,57.619999,1265000,55.342651
"2014-06-23",57.720001,58.290001,57.43,57.560001,384500,55.285027
"2014-06-24",57.299999,57.57,56.490002,56.68,580300,54.439796
"2014-06-25",56.619999,56.830002,56.040001,56.689999,503900,54.449409
"2014-06-26",56.720001,56.779999,56.169998,56.32,336500,54.094032
"2014-06-27",56.450001,56.450001,55.52,55.580002,1105000,53.383274
"2014-06-30",55.52,56.75,55.419998,56.68,609900,54.439796
"2014-07-01",56.77,57.459999,56.77,57.060001,424500,54.804787
"2014-07-02",57,57.869999,57,57.369999,484600,55.102535
"2014-07-03",57.459999,57.740002,57.02,57.16,138700,54.900833
"2014-07-07",57.040001,57.040001,55.939999,56.040001,274700,53.825104
"2014-07-08",56.040001,56.040001,54.990002,55.509998,424300,53.316044
"2014-07-09",55.5,56.029999,55.360001,55.610001,342800,53.412102
"2014-07-10",54.849998,55.880001,54.619999,55.599998,496000,53.402489
"2014-07-11",55.669998,56.450001,55.439999,56.029999,269000,53.815495
"2014-07-14",56.099998,56.57,55.619999,55.98,426400,53.767467
"2014-07-15",55.849998,56.189999,55.279999,55.610001,306800,53.412102
"2014-07-16",55.790001,56.110001,55.139999,55.43,417400,53.239212
"2014-07-17",55.049999,55.169998,54.18,54.27,408600,52.125065
"2014-07-18",54.349998,55.009998,54.110001,54.889999,300700,52.720554
"2014-07-21",54.790001,55.049999,54.560001,54.759998,265900,52.595684
"2014-07-22",55.150002,55.580002,54.709999,54.900002,242000,52.730156
"2014-07-23",54.919998,55.09,54.099998,54.450001,362800,52.297935
"2014-07-24",54.419998,55.459999,54.290001,54.970001,412400,52.797394
"2014-07-25",54.630001,55.25,54.389999,55.099998,473700,52.922256
"2014-07-28",55.099998,55.110001,53.32,53.57,513200,51.452721
"2014-07-29",53.52,53.860001,52.419998,52.450001,582000,50.376991
"2014-07-30",52.549999,53.959999,52.43,53.66,799300,51.539162
"2014-07-31",50.900002,52.73,49.93,51.43,1583400,49.397301
"2014-08-01",51.43,51.48,49.59,50.360001,903900,48.369598
"2014-08-04",50.59,51.77,49.970001,50.119999,956900,48.139069
"2014-08-05",50.139999,50.93,49.799999,50.400002,668400,48.408016
"2014-08-06",49.299999,50.23,48.830002,50.119999,1078300,48.139069
"2014-08-07",50.5,50.630001,49.599998,49.869999,622300,47.898964
"2014-08-08",49.919998,50.720001,49.919998,50.610001,850400,48.609718
"2014-08-11",50.759998,51.029999,50.279999,50.360001,342200,48.369598
"2014-08-12",50.290001,51.119999,50.279999,50.959999,712200,48.945873
"2014-08-13",51.060001,52.279999,51.060001,52.240002,708300,50.175301
"2014-08-14",52.23,52.360001,51.669998,52.02,626600,49.963978
"2014-08-15",52.330002,52.93,51.830002,52.259998,755500,50.194496
"2014-08-18",52.509998,53.200001,52.169998,52.639999,325400,50.559479
"2014-08-19",52.799999,53.41,52.23,52.610001,513600,50.530666
"2014-08-20",52.630001,52.91,52.27,52.52,332400,50.444225
"2014-08-21",52.630001,52.77,52.110001,52.139999,249600,50.079243
"2014-08-22",52.049999,52.119999,51.740002,51.970001,399800,49.915955
"2014-08-25",52.220001,52.560001,51.91,52.470001,276100,50.396198
"2014-08-26",52.470001,52.580002,52.09,52.380001,291400,50.309753
"2014-08-27",52.259998,52.259998,51.650002,52.009998,281200,49.954372
"2014-08-28",51.73,51.790001,51.209999,51.549999,438400,49.512562
"2014-08-29",51.549999,51.75,51.240002,51.43,372000,49.397301
"2014-09-02",51.529999,52.299999,51.459999,52.27,661900,50.204098
"2014-09-03",52.639999,52.880001,51.98,52.189999,393900,50.127266
"2014-09-04",52.279999,52.84,52.07,52.330002,411300,50.26173
"2014-09-05",52.470001,52.650002,51.91,52.48,517700,50.4058
"2014-09-08",52.310001,52.619999,52.060001,52.220001,477300,50.156078
"2014-09-09",52.16,52.490002,51.509998,51.740002,533300,49.695053
"2014-09-10",51.630001,52.16,51.25,51.950001,620400,49.896748
"2014-09-11",51.790001,52.52,51.77,52.060001,472200,50.002407
"2014-09-12",51.830002,51.900002,50.709999,50.869999,811300,48.934639
"2014-09-15",50.73,50.900002,50.080002,50.799999,818700,48.867298
"2014-09-16",50.720001,51.41,50.580002,51.099998,671700,49.155876
"2014-09-17",51.16,52.25,50.91,51.060001,610400,49.117409
"2014-09-18",51.23,51.23,50.52,50.619999,551200,48.694141
"2014-09-19",50.880001,50.880001,47.470001,49.860001,1925100,47.963062
"2014-09-22",49.66,49.82,49.169998,49.200001,829600,47.328167
"2014-09-23",49.049999,49.470001,48.540001,48.919998,760000,47.058823
"2014-09-24",48.900002,49.209999,48.810001,49,470900,47.135784
"2014-09-25",48.77,49,48.060001,48.209999,604800,46.375832
"2014-09-26",48.25,48.529999,48.189999,48.400002,664800,46.558609
"2014-09-29",48.02,48.540001,47.790001,48,900800,46.173828
"2014-09-30",47.900002,48,47.310001,47.639999,1371500,45.827518
"2014-10-01",47.439999,48,46.880001,47.77,1083800,45.952568
"2014-10-02",47.68,48.07,47.369999,47.869999,2127100,46.048767
"2014-10-03",48.830002,49.209999,48.580002,49.139999,968600,47.270451
"2014-10-06",49.200001,49.470001,48.470001,48.59,750300,46.741371
"2014-10-07",48.369999,48.369999,46.580002,46.59,691600,44.817463
"2014-10-08",46.540001,47.279999,45.849998,47.240002,1061700,45.44273
"2014-10-09",47.389999,47.389999,46.540001,46.700001,617300,44.923275
"2014-10-10",46.580002,46.970001,46.200001,46.25,776400,44.490398
"2014-10-13",46.220001,46.48,45.279999,45.32,824500,43.595787
"2014-10-14",45.509998,45.889999,44.82,45.060001,976900,43.345673
"2014-10-15",44.560001,46,43.810001,45.720001,1284600,43.980556
"2014-10-16",44.630001,46.5,44.220001,46.330002,696500,44.567364
"2014-10-17",46.73,47.57,46.32,46.75,756800,44.971382
"2014-10-20",46.580002,47.169998,46.57,46.900002,602400,45.115665
"2014-10-21",47.169998,48.470001,47.169998,48.23,657200,46.395073
"2014-10-22",48.240002,48.509998,47,47.099998,696000,45.30806
"2014-10-23",47.700001,48.779999,47.259998,48.450001,733300,46.606705
"2014-10-24",48.490002,49.169998,48.07,49.119999,414700,47.251209
"2014-10-27",48.869999,49.310001,48.549999,49.150002,584000,47.280079
"2014-10-28",49.419998,50.25,49.080002,50.200001,730600,48.290123
"2014-10-29",50.509998,51.369999,49.66,50.290001,1184500,48.376698
"2014-10-30",50.18,53.049999,49.240002,52.639999,1203500,50.637291
"2014-10-31",53.619999,54.57,52.869999,53.09,2535400,51.070164
"2014-11-03",53.16,53.59,52.91,53.43,811100,51.397236
"2014-11-04",53.389999,53.84,53.09,53.119999,1120800,51.099026
"2014-11-05",53.43,53.580002,52.740002,53.049999,539900,51.031689
"2014-11-06",53.330002,53.509998,52.869999,53.419998,1041500,51.387611
"2014-11-07",53.439999,53.560001,52.900002,52.959999,1249500,50.94511
"2014-11-10",53.110001,53.110001,52.57,52.68,562600,50.67577
"2014-11-11",52.810001,53.389999,52.369999,52.52,582100,50.521862
"2014-11-12",52.310001,52.669998,52.009998,52.5,631100,50.502621
"2014-11-13",52.57,52.68,51.880001,52.119999,375500,50.137077
"2014-11-14",52,52.509998,51.790001,52.27,372900,50.281376
"2014-11-17",52.189999,52.919998,52.110001,52.84,529600,50.829681
"2014-11-18",52.91,54.049999,52.68,53.869999,629300,51.820496
"2014-11-19",53.939999,54.32,53.540001,54,758000,51.945553
"2014-11-20",53.619999,54.360001,53.52,54.09,220800,52.03212
"2014-11-21",54.799999,54.880001,54.02,54.200001,488700,52.137947
"2014-11-24",54.25,54.490002,53.880001,53.950001,482200,51.897449
"2014-11-25",53.939999,53.970001,53.279999,53.57,453300,51.53191
"2014-11-26",53.599998,53.799999,52.900002,53.060001,537700,51.041321
"2014-11-28",53.09,54.16,53.09,53.849998,343200,51.801258
"2014-12-01",53.790001,53.98,53.25,53.700001,467000,51.65696
"2014-12-02",53.790001,54.419998,53.639999,54.360001,316000,52.291851
"2014-12-03",54.560001,55.080002,54.41,54.689999,1397500,52.609299
"2014-12-04",54.720001,54.990002,54.400002,54.59,570900,52.513103
"2014-12-05",54.810001,55.610001,54.59,55.549999,861100,53.436577
"2014-12-08",55.560001,55.91,54.599998,54.91,601500,52.820927
"2014-12-09",54.029999,55.080002,53.860001,55,423800,52.907509
"2014-12-10",54.689999,55.099998,53.970001,54.150002,464300,52.089848
"2014-12-11",54.07,54.970001,53.580002,54.189999,394800,52.128323
"2014-12-12",53.689999,54.139999,53.619999,53.810001,592700,51.839306
"2014-12-15",54,54.41,53.349998,53.700001,452600,51.73333
"2014-12-16",53.599998,54.099998,52.959999,53.43,1016300,51.473225
"2014-12-17",53.540001,54.209999,53,54.110001,418500,52.128326
"2014-12-18",54.810001,54.98,54.279999,54.950001,504700,52.937557
"2014-12-19",55.380001,55.389999,54.650002,54.990002,686900,52.976093
"2014-12-22",54.98,55.610001,54.77,55.610001,277900,53.573391
"2014-12-23",55.610001,55.860001,55.400002,55.68,362700,53.64082
"2014-12-24",55.810001,55.900002,55.400002,55.73,134000,53.688995
"2014-12-26",55.77,56,55.580002,55.650002,193000,53.611931
"2014-12-29",55.540001,56.060001,55.290001,55.91,340600,53.8624
"2014-12-30",55.689999,55.889999,55.41,55.66,448600,53.621555
"2014-12-31",55.869999,56.049999,55.25,55.459999,564100,53.428871
"2015-01-02",55.490002,55.599998,53.970001,55.049999,668800,53.033894
"2015-01-05",54.73,55.240002,54.560001,54.939999,534600,52.927921
"2015-01-06",55,55.16,54.080002,54.849998,1337500,52.841225
"2015-01-07",55.09,56,54.810001,55.599998,718400,53.563755
"2015-01-08",55.709999,56.380001,55.18,56.349998,893900,54.286297
"2015-01-09",56.110001,56.330002,55.790001,55.880001,541000,53.833504
"2015-01-12",55.939999,55.990002,54.849998,54.990002,336600,52.976093
"2015-01-13",55.299999,56.459999,54.450001,55.099998,520200,53.082066
"2015-01-14",54.57,55.389999,54.18,55.330002,544200,53.303646
"2015-01-15",55.549999,55.66,53.349998,53.799999,1114300,51.82967
"2015-01-16",53.84,54.349998,53.169998,53.369999,2678200,51.415417
"2015-01-20",53.439999,53.919998,52.59,52.790001,1137400,50.856663
"2015-01-21",52.580002,53.450001,52.330002,52.919998,1614200,50.981907
"2015-01-22",53.119999,54.43,52.900002,54.360001,894200,52.369164
"2015-01-23",54.310001,55,54.310001,54.48,403700,52.484772
"2015-01-26",54.759998,54.830002,53.77,53.91,702600,51.935646
"2015-01-27",53.200001,54.040001,53.07,53.799999,476800,51.82967
"2015-01-28",54.299999,55.16,53.91,54.349998,695100,52.359524
"2015-01-29",54.150002,54.900002,53.709999,54.790001,456600,52.783421
"2015-01-30",54.52,54.919998,53.880001,54.009998,591800,52.031986
"2015-02-02",54.299999,54.529999,53.43,54.490002,1213600,52.494408
"2015-02-03",54.939999,55.43,54.700001,55.049999,429400,53.033894
"2015-02-04",55.029999,55.970001,54.970001,55.630001,578300,53.592655
"2015-02-05",55.75,57.060001,55.75,57,627800,54.912479
"2015-02-06",57.220001,57.799999,57.009998,57.549999,977400,55.442341
"2015-02-09",57.540001,58.099998,56.880001,56.91,730300,54.825779
"2015-02-10",57.220001,57.349998,56.259998,56.880001,527400,54.796871
"2015-02-11",56.939999,57.209999,56.389999,56.720001,860000,54.642742
"2015-02-12",57.139999,57.889999,56.849998,57.759998,723800,55.644653
"2015-02-13",57.720001,58.82,57.189999,58.66,746300,56.511684
"2015-02-17",58.790001,59.5,58.389999,58.560001,1336700,56.415356
"2015-02-18",56.880001,57.43,55.130001,56,1721100,53.949108
"2015-02-19",55.939999,57.860001,55.790001,57.619999,1670200,55.509773
"2015-02-20",57.439999,58.720001,56.98,58.599998,980200,56.453884
"2015-02-23",58.360001,58.720001,57.93,58.34,769700,56.203403
"2015-02-24",58.110001,58.790001,57.900002,58.400002,526600,56.261211
"2015-02-25",58.48,59.07,58.16,58.549999,626000,56.405708
"2015-02-26",58.740002,58.77,58.029999,58.290001,507200,56.155235
"2015-02-27",58.209999,58.540001,57.689999,57.73,342900,55.615757
"2015-03-02",57.77,58.91,57.639999,58.82,694300,56.665829
"2015-03-03",58.439999,58.82,58.049999,58.5,612000,56.357544
"2015-03-04",58.650002,58.84,57.98,58.450001,940000,56.309368
"2015-03-05",58.48,58.48,57.799999,58.110001,480000,55.981831
"2015-03-06",57.689999,57.98,57.360001,57.450001,413900,55.346001
"2015-03-09",57.41,58.139999,57.400002,57.990002,342800,55.866215
"2015-03-10",57.689999,58.009998,57.110001,57.610001,491100,55.500134
"2015-03-11",57.700001,58.259998,57.580002,57.91,559900,55.78915
"2015-03-12",57.93,58.52,57.93,58.400002,420900,56.261211
"2015-03-13",58.09,58.669998,57.799999,58.16,562300,56.12611
"2015-03-16",58.509998,58.77,58.009998,58.740002,494300,56.685814
"2015-03-17",58.209999,58.740002,58.040001,58.34,446100,56.299809
"2015-03-18",58.290001,60.099998,58.060001,59.84,634800,57.747353
"2015-03-19",59.860001,60.040001,59.290001,60.009998,599900,57.911407
"2015-03-20",60.41,61.220001,60.23,61.139999,923000,59.001892
"2015-03-23",61.240002,61.700001,60.810001,60.900002,685900,58.770287
"2015-03-24",60.740002,61.400002,60.380001,60.900002,529500,58.770287
"2015-03-25",60.84,61.23,60.139999,60.310001,652900,58.200924
"2015-03-26",60.299999,60.669998,59.98,60.509998,554100,58.393925
"2015-03-27",60.490002,61.299999,60.16,61.23,912800,59.088741
"2015-03-30",61.400002,61.970001,61.400002,61.91,457400,59.744972
"2015-03-31",61.5,61.93,61.049999,61.169998,428200,59.030846
"2015-04-01",60.98,61.330002,60.790001,61.080002,443500,58.944
"2015-04-02",61.150002,61.709999,60.939999,61.450001,275700,59.301052
"2015-04-06",61.18,62.16,61.029999,61.650002,653400,59.494064
"2015-04-07",61.400002,61.709999,61.279999,61.57,398800,59.416851
"2015-04-08",61.529999,61.73,61.18,61.689999,512100,59.532661
"2015-04-09",61.700001,61.799999,61.139999,61.439999,425500,59.291397
"2015-04-10",61.52,61.720001,60.869999,61.240002,559800,59.098392
"2015-04-13",61.169998,61.580002,60.25,60.279999,438800,58.171959
"2015-04-14",60.32,60.68,59.599998,59.970001,681000,57.87281
"2015-04-15",60.02,60.610001,60.02,60.490002,443500,58.374626
"2015-04-16",60.380001,60.470001,59.700001,60.16,350400,58.056168
"2015-04-17",59.720001,59.720001,58.779999,59.099998,462000,57.033234
"2015-04-20",59.200001,59.68,59.080002,59.310001,403300,57.235893
"2015-04-21",59.689999,59.93,59.330002,59.810001,326600,57.718399
"2015-04-22",59.869999,60.48,59.720001,60.360001,485400,58.249168
"2015-04-23",60.07,60.18,59.529999,59.740002,1013000,57.650848
"2015-04-24",59.689999,61.080002,59.630001,60.959999,873500,58.828186
"2015-04-27",60.970001,61.450001,60.5,60.59,793100,58.471127
"2015-04-28",60.400002,61.099998,60.240002,60.810001,950300,58.683434
